ANIO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,DIVORCIOS
2017,IV Trim,Guaviare,San Jose Del Guaviare,9
2017,IV Trim,Huila,Neiva,68
2017,IV Trim,Huila,Demas Municipios,50
2017,IV Trim,Magdalena,Santa Marta,17
2017,IV Trim,Magdalena,Demas Municipios,24
2017,IV Trim,Meta,Villavicencio,43
2017,IV Trim,Meta,Demas Municipios,35
2017,IV Trim,Narinio,Pasto,118
2017,IV Trim,Narinio,Demas Municipios,37
2017,IV Trim,Norte De Santander,Cucuta,101
2017,IV Trim,Norte De Santander,Demas Municipios,35
2017,IV Trim,Putumayo,Mocoa,10
2017,IV Trim,Putumayo,Demas Municipios,17
2017,IV Trim,Quindio,Armenia,115
2017,IV Trim,Quindio,Demas Municipios,55
2017,IV Trim,Risaralda,Pereira,266
2017,IV Trim,Risaralda,Demas Municipios,37
2017,IV Trim,San Andres Y Providencia,San Andres Isla,9
2017,IV Trim,San Andres Y Providencia,Demas Municipios,0
2017,IV Trim,Santander,Bucaramanga,241
2017,IV Trim,Santander,Demas Municipios,101
2017,IV Trim,Sucre,Sincelejo,37
2017,IV Trim,Sucre,Demas Municipios,20
2017,IV Trim,Tolima,Ibague,97
2017,IV Trim,Tolima,Demas Municipios,66
2017,IV Trim,Valle,Cali,539
2017,IV Trim,Valle,Demas Municipios,498
2017,IV Trim,Vaupes,Mitu,0
2017,IV Trim,Vichada,Puerto Carrenio,0
2017,IV Trim,Vichada,Demas Municipios,1
2018,I Trim,Amazonas,Leticia,2
2018,I Trim,Antioquia,Medellin,302
2018,I Trim,Antioquia,Demas Municipios,261
2018,I Trim,Arauca,Arauca,4
2018,I Trim,Arauca,Demas Municipios,12
2018,I Trim,Atlantico,Barranquilla,183
2018,I Trim,Atlantico,Demas Municipios,58
2018,I Trim,Bolivar,Cartagena,92
2018,I Trim,Bolivar,Demas Municipios,22
2018,I Trim,Boyaca,Tunja,27
2018,I Trim,Boyaca,Demas Municipios,72
2018,I Trim,Caldas,Manizales,103
2018,I Trim,Caldas,Demas Municipios,61
2018,I Trim,Caqueta,Florencia,20
2018,I Trim,Caqueta,Demas Municipios,11
2018,I Trim,Casanare,Yopal,9
2018,I Trim,Casanare,Demas Municipios,22
2018,I Trim,Cauca,Popayan,59
2018,I Trim,Cauca,Demas Municipios,33
2018,I Trim,Cesar,Valledupar,20
2018,I Trim,Cesar,Demas Municipios,28
2018,I Trim,Choco,Quibdo,8
2018,I Trim,Choco,Demas Municipios,0
2018,I Trim,Cordoba,Monteria,22
2018,I Trim,Cordoba,Demas Municipios,26
2018,I Trim,Cundinamarca,Bogota,1160
2018,I Trim,Cundinamarca,Demas Municipios,181
2018,I Trim,Guainia,Inirida,2
2018,I Trim,Guajira,Riohacha,8
2018,I Trim,Guajira,Demas Municipios,10
2018,I Trim,Guaviare,San Jose Del Guaviare,5
2018,I Trim,Huila,Neiva,41
2018,I Trim,Huila,Demas Municipios,68
2018,I Trim,Magdalena,Santa Marta,26
2018,I Trim,Magdalena,Demas Municipios,12
2018,I Trim,Meta,Villavicencio,40
2018,I Trim,Meta,Demas Municipios,24
2018,I Trim,Narinio,Pasto,82
2018,I Trim,Narinio,Demas Municipios,34
2018,I Trim,Norte De Santander,Cucuta,64
2018,I Trim,Norte De Santander,Demas Municipios,38
2018,I Trim,Putumayo,Mocoa,9
2018,I Trim,Putumayo,Demas Municipios,17
2018,I Trim,Quindio,Armenia,134
2018,I Trim,Quindio,Demas Municipios,57
2018,I Trim,Risaralda,Pereira,241
2018,I Trim,Risaralda,Demas Municipios,42
2018,I Trim,San Andres Y Providencia,San Andres Isla,4
2018,I Trim,San Andres Y Providencia,Demas Municipios,0
2018,I Trim,Santander,Bucaramanga,198
2018,I Trim,Santander,Demas Municipios,78
2018,I Trim,Sucre,Sincelejo,27
2018,I Trim,Sucre,Demas Municipios,21
2018,I Trim,Tolima,Ibague,78
2018,I Trim,Tolima,Demas Municipios,43
2018,I Trim,Valle,Cali,480
2018,I Trim,Valle,Demas Municipios,405
2018,I Trim,Vaupes,Mitu,1
2018,I Trim,Vichada,Puerto Carrenio,0
2018,I Trim,Vichada,Demas Municipios,0
2018,II Trim,Amazonas,Leticia,1
2018,II Trim,Antioquia,Medellin,395
2018,II Trim,Antioquia,Demas Municipios,278
2018,II Trim,Arauca,Arauca,4
2018,II Trim,Arauca,Demas Municipios,9
2018,II Trim,Atlantico,Barranquilla,239
2018,II Trim,Atlantico,Demas Municipios,75
2018,II Trim,Bolivar,Cartagena,106
2018,II Trim,Bolivar,Demas Municipios,18
2018,II Trim,Boyaca,Tunja,34
2018,II Trim,Boyaca,Demas Municipios,96
2018,II Trim,Caldas,Manizales,124
2018,II Trim,Caldas,Demas Municipios,55
2018,II Trim,Caqueta,Florencia,37
2018,II Trim,Caqueta,Demas Municipios,11
2018,II Trim,Casanare,Yopal,9
2018,II Trim,Casanare,Demas Municipios,18
2018,II Trim,Cauca,Popayan,65
2018,II Trim,Cauca,Demas Municipios,35
2018,II Trim,Cesar,Valledupar,42
2018,II Trim,Cesar,Demas Municipios,33
2018,II Trim,Choco,Quibdo,11
2018,II Trim,Choco,Demas Municipios,2
2018,II Trim,Cordoba,Monteria,25
2018,II Trim,Cordoba,Demas Municipios,17
2018,II Trim,Cundinamarca,Bogota,1391
2018,II Trim,Cundinamarca,Demas Municipios,228
